X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000231313	0	0	0	0	1	0	0	0
ENSG00000231503	1	2	2	1	0	0	2	1
ENSG00000231560	2	0	0	0	0	0	0	0
ENSG00000231738	0	0	0	1	0	1	0	0
ENSG00000231788	0	0	0	0	0	0	1	0
ENSG00000232888	7	0	1	0	0	2	1	0
ENSG00000233381	0	0	0	0	1	0	0	0
ENSG00000233560	2	8	4	0	7	4	13	4
ENSG00000233719	2	0	1	0	3	6	3	8
ENSG00000234040	0	0	0	0	0	0	0	0
ENSG00000234428	0	0	1	0	0	0	0	0
ENSG00000234498	4	3	4	2	3	0	4	5
ENSG00000234589	1	0	0	0	0	0	0	0
ENSG00000234608	67	54	32	36	60	48	102	73
ENSG00000234925	0	0	0	1	0	1	0	1
ENSG00000235049	0	0	0	8	4	16	32	3
ENSG00000235162	111	249	86	101	259	196	240	566
ENSG00000235423	51	21	110	48	40	19	105	52
ENSG00000235602	1	0	1	0	0	0	0	0
ENSG00000235868	0	0	0	0	0	0	0	0
ENSG00000235872	0	1	0	1	2	1	1	2
ENSG00000235884	1	1	2	6	14	3	0	5
ENSG00000236333	2	2	0	3	2	5	0	4
ENSG00000236349	0	0	0	0	0	0	0	0
ENSG00000236617	3	1	3	1	2	1	2	5
ENSG00000236908	0	0	2	0	1	0	7	8
ENSG00000236946	2	5	6	1	0	1	2	2
ENSG00000237176	0	0	0	0	0	0	0	0
ENSG00000237248	26	24	21	26	73	45	45	36
ENSG00000237493	0	2	0	0	0	0	0	0
ENSG00000237766	8	3	3	0	1	1	3	4
ENSG00000237774	0	0	0	0	0	0	0	0
ENSG00000238105	183	287	233	48	527	129	357	280
ENSG00000238152	0	0	1	0	0	0	0	0
ENSG00000238168	0	0	0	0	0	0	0	0
ENSG00000238361	0	0	0	0	0	0	0	0
ENSG00000238528	0	5	2	1	2	3	1	2
ENSG00000238800	0	0	0	0	0	0	0	0
ENSG00000238923	0	0	0	0	0	0	0	0
ENSG00000238940	0	0	0	0	0	0	0	0
ENSG00000239002	0	4	1	2	1	0	0	1
ENSG00000239201	0	0	0	0	0	0	0	0
ENSG00000239335	4	4	3	0	0	0	3	0
ENSG00000239374	0	0	0	0	0	0	0	0
ENSG00000239413	0	3	2	2	0	0	2	0
ENSG00000239473	1	2	1	0	0	0	0	0
ENSG00000239617	3	1	3	2	0	1	1	1
ENSG00000239701	1	0	0	0	0	0	0	0
ENSG00000239881	2	1	0	0	3	1	1	3
ENSG00000240087	1	4	1	1	0	2	2	0
ENSG00000240328	0	0	0	0	0	0	0	0
ENSG00000240342	10	16	0	7	4	4	8	14
ENSG00000240370	42	31	29	27	14	17	32	36
ENSG00000240399	14	19	11	1	6	4	4	7
ENSG00000240441	3	0	2	1	0	0	2	3
ENSG00000240739	0	0	0	0	0	0	0	0
ENSG00000240759	2	4	0	7	4	2	2	5
ENSG00000240771	516	139	267	218	392	259	507	288
ENSG00000240991	4	0	0	0	0	1	1	1
ENSG00000241030	1	3	3	0	1	3	4	0
ENSG00000241045	0	1	0	0	0	0	0	0
ENSG00000241129	0	1	3	0	0	0	2	0
ENSG00000241217	4	8	4	0	1	3	6	2
ENSG00000241251	0	0	0	0	0	0	0	1
ENSG00000241286	0	0	0	0	0	0	0	0
ENSG00000241352	3	7	2	0	3	2	3	7
ENSG00000241388	0	2	0	0	0	0	1	0
ENSG00000241413	1	1	2	0	0	0	0	0
ENSG00000241423	0	0	1	0	0	0	0	0
ENSG00000241556	0	5	0	0	0	1	1	0
ENSG00000241656	0	0	0	0	0	0	0	0
ENSG00000241680	0	0	1	0	0	1	2	0
ENSG00000241710	0	0	0	0	1	0	0	0
ENSG00000241749	0	0	2	1	1	0	1	5
ENSG00000241765	1	0	1	0	1	0	0	1
ENSG00000241785	0	0	0	0	0	0	2	0
ENSG00000241825	0	0	0	0	0	0	1	0
ENSG00000241941	0	0	0	0	0	0	0	0
ENSG00000242087	0	1	0	0	0	0	0	0
ENSG00000242314	0	0	0	0	0	0	0	1
ENSG00000242405	1	0	0	0	0	0	1	1
ENSG00000242444	5	1	1	0	0	0	0	0
ENSG00000242661	0	0	0	0	0	0	0	0
ENSG00000242850	0	0	0	0	0	0	0	0
ENSG00000242963	0	0	0	0	0	0	0	0
ENSG00000242986	0	0	0	0	1	0	0	0
ENSG00000242990	0	0	0	0	0	1	0	0
ENSG00000243015	7	8	6	5	4	6	12	5
ENSG00000243024	3	1	0	0	1	1	2	0
ENSG00000243071	1	0	0	0	0	0	0	0
ENSG00000243129	0	0	0	0	0	0	0	0
ENSG00000243141	0	0	0	0	0	0	0	0
ENSG00000243499	0	0	0	0	0	0	0	0
ENSG00000243517	3	2	1	3	0	0	0	2
ENSG00000243663	1	0	0	0	0	0	0	0
ENSG00000243714	0	0	0	0	0	0	0	0
ENSG00000243830	4	7	1	2	4	2	3	2
ENSG00000243854	0	1	0	0	0	1	2	0
ENSG00000244050	1	0	1	0	0	0	1	0
ENSG00000244060	0	0	2	0	0	0	0	0
ENSG00000244131	0	0	0	0	0	1	0	1
ENSG00000244266	0	0	0	1	0	0	0	0
ENSG00000244390	0	0	0	0	0	0	0	0
ENSG00000244436	0	0	2	0	0	0	0	0
ENSG00000244573	0	0	0	0	0	0	0	0
ENSG00000244585	0	1	1	0	0	0	0	0
ENSG00000245017	2	9	9	6	8	4	5	5
ENSG00000245105	14	28	20	20	30	29	28	48
ENSG00000245205	3	6	0	10	4	0	8	5
ENSG00000245311	0	0	0	0	0	0	0	0
ENSG00000245482	1	0	0	0	0	0	0	0
ENSG00000245614	17	39	18	4	12	7	18	20
ENSG00000245648	1	119	89	0	2	2	2	2
ENSG00000245651	0	2	3	0	0	0	0	0
ENSG00000245667	0	0	0	0	0	0	1	0
ENSG00000245904	20	22	50	13	28	19	26	27
ENSG00000246331	1	0	1	0	2	0	1	1
ENSG00000246363	2	1	0	0	1	0	1	1
ENSG00000246394	0	0	1	0	1	0	0	0
ENSG00000246627	0	26	6	2	4	3	2	2
ENSG00000246695	23	31	45	54	292	95	65	133
ENSG00000246705	471	1319	1374	1513	2996	1080	3109	5956
ENSG00000246985	2	9	5	23	28	5	9	61
ENSG00000247077	658	989	736	403	447	366	1042	769
ENSG00000247131	0	1	0	1	1	0	0	2
ENSG00000247157	4	7	29	3	20	16	11	14
ENSG00000247213	1	1	0	0	1	0	0	0
ENSG00000247363	0	1	3	1	1	6	5	9
ENSG00000247373	14	11	25	8	13	20	18	18
ENSG00000247498	16	71	94	4	63	40	7	10
ENSG00000247774	187	131	229	61	136	194	187	52
ENSG00000247853	35	26	27	9	25	23	22	16
ENSG00000247903	0	2	2	0	1	0	1	1
ENSG00000247934	3	7	14	9	13	8	9	11
ENSG00000248008	136	153	110	329	326	107	707	265
ENSG00000248100	0	0	1	0	0	0	1	0
ENSG00000248265	0	6	3	32	5	3	1	1
ENSG00000248576	0	0	0	1	1	1	0	0
ENSG00000248593	65	55	108	60	64	51	81	77
ENSG00000248636	3	1	2	1	7	5	3	5
ENSG00000248703	0	0	0	1	2	0	2	0
ENSG00000249028	0	0	0	0	0	0	0	0
ENSG00000249094	0	0	0	0	0	0	0	0
ENSG00000249196	0	0	0	0	0	0	0	0
ENSG00000249267	9	0	1	1	26	0	35	9
ENSG00000249345	0	0	0	0	10	0	0	0
ENSG00000249388	0	0	0	3	0	3	0	0
ENSG00000249550	0	1	2	0	5	0	1	0
ENSG00000249628	1	8	1	0	1	0	10	2
ENSG00000249641	0	52	8	16	34	21	1	3
ENSG00000249695	0	0	0	0	0	0	0	0
ENSG00000249753	1	1	1	0	0	0	0	1
ENSG00000249790	0	3	3	1	5	4	1	3
ENSG00000249926	0	0	0	0	1	0	0	0
ENSG00000250091	88	25	66	88	143	37	281	172
ENSG00000250132	73	46	37	20	42	24	70	35
ENSG00000250133	1	17	15	4	2	12	3	2
ENSG00000250166	5	3	28	0	0	0	0	0
ENSG00000250208	7	7	354	58	58	13	14	27
ENSG00000250280	1	0	2	2	1	0	0	0
ENSG00000250432	3	1	4	1	4	2	3	2
ENSG00000250451	4	9	3	15	9	3	1	2
ENSG00000250510	32	11	23	22	300	55	40	24
ENSG00000250517	0	0	0	0	0	0	0	0
ENSG00000250654	12	5	15	9	7	19	8	6
ENSG00000250742	25	28	70	240	239	104	258	73
ENSG00000250748	0	0	0	0	0	1	0	1
ENSG00000250770	0	0	5	1	0	0	1	10
ENSG00000250790	3	0	9	1	10	1	24	8
ENSG00000250899	60	112	86	58	83	49	62	137
ENSG00000251138	0	0	0	0	0	1	0	2
ENSG00000251151	0	19	9	5	12	15	0	0
ENSG00000251301	38	31	61	4	1	11	2	1
ENSG00000251497	1	0	0	0	0	0	0	0
ENSG00000251536	0	1	1	0	0	0	1	0
ENSG00000251695	3	1	3	2	0	3	1	11
ENSG00000251893	0	0	0	0	0	0	0	0
ENSG00000252079	1	0	0	0	1	0	2	0
ENSG00000252192	0	0	1	0	0	0	0	0
ENSG00000252220	0	0	0	0	0	0	0	0
ENSG00000252393	0	0	0	0	0	0	0	0
ENSG00000252421	0	0	0	0	0	0	0	0
ENSG00000252585	0	1	0	0	0	0	0	1
ENSG00000252659	0	0	1	0	0	0	0	0
ENSG00000252827	0	0	0	0	0	0	0	0
ENSG00000252883	0	0	0	0	0	0	0	0
ENSG00000252996	0	0	0	0	0	0	0	0
ENSG00000253284	4	5	4	1	7	4	4	1
ENSG00000253719	1347	1466	813	1097	2625	1155	4631	2413
ENSG00000254016	2	0	3	0	0	0	1	0
ENSG00000254451	0	0	0	0	0	0	0	0
ENSG00000255150	33	15	24	13	28	20	45	20
ENSG00000255374	3	2	0	0	1	0	0	0
ENSG00000255398	4	13	11	6	10	24	7	11
ENSG00000255399	206	24	25	60	76	112	89	42
ENSG00000255474	1	1	0	0	1	0	0	0
ENSG00000255566	0	0	0	0	0	0	0	0
ENSG00000255572	0	0	1	0	0	0	0	0
ENSG00000255575	0	0	0	0	0	0	0	0
ENSG00000255581	0	1	0	0	0	0	0	0
ENSG00000255583	0	0	0	0	1	0	0	0
ENSG00000255595	0	0	94	0	1	0	0	0
ENSG00000255608	1	0	0	0	0	0	0	0
ENSG00000255621	1	8	3	1	7	3	0	0
ENSG00000255629	1	0	0	0	0	0	2	1
ENSG00000255642	2	6	6	32	37	12	31	9
ENSG00000255644	0	0	0	3	3	4	1	3
ENSG00000255648	0	0	0	0	0	0	0	0
ENSG00000255649	0	0	0	0	0	0	0	0
ENSG00000255650	4	0	0	2	7	1	0	8
ENSG00000255652	0	0	1	0	1	1	0	0
ENSG00000255655	1	1	0	0	4	3	3	2
ENSG00000255660	0	0	0	0	0	0	0	0
ENSG00000255669	1	0	1	0	0	0	1	0
ENSG00000255670	3	1	1	0	1	1	1	0
ENSG00000255686	0	0	0	0	0	0	0	1
ENSG00000255692	0	0	0	0	0	0	0	0
ENSG00000255693	0	0	0	7	1	1	0	1
ENSG00000255700	0	0	0	0	0	0	0	0
ENSG00000255725	0	0	0	0	0	0	0	0
ENSG00000255727	0	0	0	2	3	0	1	1
ENSG00000255733	7	36	38	1	16	3	15	2
ENSG00000255734	0	0	0	0	0	0	0	0
ENSG00000255737	28	243	208	133	116	80	205	244
ENSG00000255740	0	0	0	0	0	0	0	0
ENSG00000255745	0	0	0	0	0	0	0	0
ENSG00000255748	0	0	0	0	0	0	0	0
ENSG00000255749	0	0	0	0	0	0	0	0
ENSG00000255750	16	4	94	0	4	1	1	2
ENSG00000255753	0	0	0	0	0	0	0	0
ENSG00000255760	1	4	6	0	3	1	0	1
ENSG00000255772	0	0	0	0	0	0	0	1
ENSG00000255775	0	0	2	0	1	1	1	0
ENSG00000255776	1	0	1	0	0	2	2	0
ENSG00000255778	0	0	5	0	0	0	0	0
ENSG00000255780	0	0	1	0	0	0	0	2
ENSG00000255790	1	0	0	0	0	0	0	0
ENSG00000255794	0	0	0	0	1	0	16	0
ENSG00000255801	0	0	0	0	0	0	0	0
ENSG00000255807	0	0	0	0	0	0	0	0
ENSG00000255817	0	0	0	0	1	0	0	0
ENSG00000255819	1	0	4	0	1	0	2	0
ENSG00000255836	49	70	36	2	4	45	7	1
ENSG00000255837	12	12	26	0	7	6	5	3
ENSG00000255839	0	0	0	0	1	1	0	0
ENSG00000255850	1	0	0	0	1	1	0	0
ENSG00000255856	9	3	1	7	14	6	20	23
ENSG00000255857	24	53	33	43	54	35	73	89
ENSG00000255858	1	0	0	0	0	1	0	0
ENSG00000255864	0	0	2	3	5	5	2	15
ENSG00000255867	1	0	1	0	1	0	0	0
ENSG00000255871	0	1	2	0	1	0	0	0
ENSG00000255882	1	1	0	0	0	2	1	0
ENSG00000255885	0	0	0	0	0	0	0	0
ENSG00000255886	0	1	0	0	0	0	0	1
ENSG00000255909	0	0	0	0	0	0	0	0
ENSG00000255910	1	2	33	0	0	0	0	0
ENSG00000255920	0	0	0	0	0	0	1	0
ENSG00000255921	0	1	1	0	0	2	0	0
ENSG00000255933	0	0	0	0	0	0	0	0
ENSG00000255944	0	0	1	0	0	0	0	0
ENSG00000255946	0	0	0	0	0	0	0	0
ENSG00000255958	0	0	0	0	0	0	0	0
ENSG00000255960	0	0	0	1	0	0	0	0
ENSG00000255964	0	0	0	0	0	0	0	0
ENSG00000255966	0	2	2	0	0	0	1	1
ENSG00000255967	1	0	0	0	0	0	0	0
ENSG00000255968	0	0	0	0	0	0	0	0
ENSG00000255970	0	0	0	0	0	0	0	0
ENSG00000255977	0	0	0	0	0	0	0	0
ENSG00000255983	0	0	0	0	9	0	0	0
ENSG00000255991	0	0	0	0	0	0	0	0
ENSG00000255992	0	4	2	3	1	1	4	5
ENSG00000255993	0	0	0	1	1	0	0	1
ENSG00000256001	0	0	0	0	1	1	0	0
ENSG00000256008	0	0	0	0	0	0	0	0
ENSG00000256011	0	1	1	0	0	0	0	0
ENSG00000256019	1	0	1	0	0	0	0	0
ENSG00000256020	0	0	0	0	0	0	1	0
ENSG00000256021	0	0	0	0	0	0	0	0
ENSG00000256028	1	1	0	0	2	2	3	1
ENSG00000256030	2	1	0	1	0	1	2	0
ENSG00000256037	4	2	1	0	0	1	0	3
ENSG00000256039	13	5	20	0	1	7	12	10
ENSG00000256056	0	0	0	1	0	0	0	1
ENSG00000256064	0	0	0	0	0	0	0	0
ENSG00000256069	1	4	16	1	3	0	3	1
ENSG00000256072	0	0	1	0	0	0	0	0
ENSG00000256075	0	0	0	0	0	0	0	0
ENSG00000256079	0	0	0	0	2	0	0	0
ENSG00000256084	3	5	6	0	2	0	0	0
ENSG00000256092	45	23	20	3	13	10	16	36
ENSG00000256101	3	0	5	0	1	2	2	0
ENSG00000256103	0	0	0	0	0	0	0	0
ENSG00000256115	0	0	0	0	0	2	0	0
ENSG00000256120	0	0	0	0	0	0	0	0
ENSG00000256125	0	0	0	0	0	0	0	0
ENSG00000256128	6	8	74	4	3	5	9	0
ENSG00000256136	0	0	0	0	0	0	0	0
ENSG00000256139	2	0	5	5	8	2	34	32
ENSG00000256146	0	0	0	0	5	1	0	0
ENSG00000256150	1	0	0	0	0	0	0	0
ENSG00000256151	0	0	0	0	0	0	0	0
ENSG00000256152	11	8	6	2	7	2	6	3
ENSG00000256155	0	1	1	0	0	0	0	0
ENSG00000256164	5	3	4	2	2	2	1	2
ENSG00000256172	1	0	0	0	0	0	0	0
ENSG00000256185	3	20	9	15	9	10	43	29
ENSG00000256188	3	1	2	0	2	1	1	2
ENSG00000256192	0	0	0	0	0	0	0	0
ENSG00000256193	0	0	1	0	0	1	0	0
ENSG00000256197	0	0	0	0	0	0	0	0
ENSG00000256199	0	0	0	0	0	0	0	0
ENSG00000256204	0	0	0	0	0	0	0	0
ENSG00000256209	0	0	0	0	0	0	0	0
ENSG00000256211	1	0	0	0	0	0	0	0
ENSG00000256218	0	0	0	0	0	0	0	0
ENSG00000256223	277	289	302	48	138	125	284	209
ENSG00000256232	2	0	0	0	0	1	1	0
ENSG00000256234	11	4	73	2	1	3	1	4
ENSG00000256237	0	0	0	0	0	0	0	0
ENSG00000256238	0	1	1	1	1	0	1	0
ENSG00000256248	1	1	0	0	0	0	1	0
ENSG00000256249	0	0	1	0	0	0	0	3
ENSG00000256250	0	0	0	0	0	1	0	0
ENSG00000256262	23	16	37	4	12	75	20	10
ENSG00000256263	0	0	0	0	0	0	0	0
ENSG00000256268	1	0	0	0	0	0	0	1
ENSG00000256271	5	16	6	0	3	4	1	2
ENSG00000256274	8	1	2	0	2	1	1	1
ENSG00000256276	0	0	0	0	2	0	0	0
ENSG00000256283	0	0	0	0	0	0	0	0
ENSG00000256287	0	0	12	0	0	0	0	0
ENSG00000256288	1	0	166	0	0	0	0	0
ENSG00000256293	0	0	0	0	0	0	0	0
ENSG00000256299	1	0	2	0	1	2	2	0
ENSG00000256304	12	6	7	0	16	4	49	11
ENSG00000256306	0	0	0	0	0	0	0	0
ENSG00000256312	0	1	2	0	0	2	0	0
ENSG00000256314	0	0	0	0	0	0	0	0
ENSG00000256321	1	0	0	0	0	0	0	0
ENSG00000256325	0	1	1	0	0	0	0	0
ENSG00000256331	0	0	0	0	2	1	0	0
ENSG00000256339	0	0	0	0	0	0	0	0
ENSG00000256342	0	0	0	0	0	0	0	0
ENSG00000256343	0	0	0	0	0	0	0	1
ENSG00000256351	0	0	0	0	1	0	0	0
ENSG00000256355	0	0	0	0	0	0	0	0
ENSG00000256356	2	0	0	1	2	0	1	0
ENSG00000256364	1	3	7	6	8	2	13	9
ENSG00000256373	0	0	1	0	0	0	0	2
ENSG00000256377	0	0	2	0	0	0	0	0
ENSG00000256381	0	0	0	0	0	0	0	0
ENSG00000256399	0	0	0	0	0	0	0	0
ENSG00000256417	0	0	0	0	22	0	0	1
ENSG00000256420	0	0	0	0	0	0	0	0
ENSG00000256427	1	0	0	0	0	0	0	1
ENSG00000256433	37	32	9	1	4	8	9	12
ENSG00000256436	1	1	2	0	3	0	1	0
ENSG00000256442	1	0	0	0	0	0	0	3
ENSG00000256450	0	4	1	0	2	0	0	0
ENSG00000256482	2	7	3	0	0	0	0	0
ENSG00000256512	2	1	0	1	2	0	4	1
ENSG00000256513	0	0	0	0	1	0	0	0
ENSG00000256537	12	14	33	11	20	7	25	20
ENSG00000256538	0	1	0	1	0	0	0	0
ENSG00000256540	9	3	12	3	18	5	46	18
ENSG00000256542	0	0	1	0	0	0	0	0
ENSG00000256546	5	1	9	4	6	6	6	2
ENSG00000256552	0	0	9	0	2	2	0	0
ENSG00000256557	0	0	0	0	0	0	0	0
ENSG00000256564	2	1	2	0	0	0	0	1
ENSG00000256569	0	0	2	1	0	0	1	1
ENSG00000256571	0	0	0	0	1	0	0	1
ENSG00000256576	11	20	16	28	7	25	54	15
ENSG00000256577	0	0	0	0	0	0	0	0
ENSG00000256581	0	0	1	0	0	0	0	0
ENSG00000256582	0	0	2	0	0	0	2	0
ENSG00000256589	0	0	0	0	0	0	0	0
ENSG00000256594	82	55	72	34	107	72	111	66
ENSG00000256596	0	0	0	1	2	1	3	1
ENSG00000256615	0	0	0	0	0	0	0	0
ENSG00000256625	0	3	2	1	2	0	2	3
ENSG00000256650	1	1	0	0	2	3	2	4
ENSG00000256651	1	4	4	0	4	1	1	1
ENSG00000256654	1	0	0	0	0	0	0	0
ENSG00000256658	0	0	0	0	0	0	0	0
ENSG00000256660	4	0	5	0	0	3	1	0
ENSG00000256661	0	0	0	0	0	0	0	0
ENSG00000256663	12	18	5	3	7	8	46	22
ENSG00000256667	61	122	103	7	44	21	33	32
ENSG00000256673	32	52	61	1	6	0	7	6
ENSG00000256678	0	0	1	0	0	0	0	0
ENSG00000256682	0	0	4	0	0	0	0	0
ENSG00000256686	0	0	0	0	3	0	0	0
ENSG00000256694	20	9	12	4	19	6	38	22
ENSG00000256706	0	0	0	0	2	0	2	1
ENSG00000256712	0	2	2	1	3	0	1	2
ENSG00000256714	0	1	1	0	0	0	0	0
ENSG00000256720	0	0	0	0	0	4	1	0
ENSG00000256721	0	0	0	0	0	1	0	0
ENSG00000256742	1	1	3	1	4	2	6	5
ENSG00000256747	0	0	5	1	1	1	1	1
ENSG00000256748	0	0	0	0	0	0	0	0
ENSG00000256751	10	10	14	24	26	19	44	31
ENSG00000256756	0	0	0	0	0	0	1	0
ENSG00000256774	0	0	1	0	0	0	0	0
ENSG00000256790	0	0	0	0	1	0	0	0
ENSG00000256797	0	0	4	0	1	0	0	0
ENSG00000256799	0	2	0	0	0	0	1	0
ENSG00000256803	0	0	0	0	0	0	0	0
ENSG00000256804	0	0	0	0	0	0	0	0
ENSG00000256811	0	0	1	0	2	0	1	0
ENSG00000256817	0	0	0	0	0	0	0	0
ENSG00000256827	0	0	0	0	0	0	0	0
ENSG00000256835	1	0	0	0	0	0	0	0
ENSG00000256837	0	0	0	0	0	0	0	0
ENSG00000256849	0	1	0	0	0	0	0	0
ENSG00000256852	0	0	0	0	0	0	0	0
ENSG00000256862	2	1	0	0	2	0	0	0
ENSG00000256870	0	11	0	0	0	0	0	13
ENSG00000256875	0	0	0	0	0	0	0	0
ENSG00000256879	0	0	12	0	0	0	0	3
ENSG00000256884	0	0	1	0	0	0	0	1
ENSG00000256894	5	5	18	5	10	8	16	6
ENSG00000256896	0	0	0	0	0	0	0	1
ENSG00000256902	0	2	0	0	3	0	1	1
ENSG00000256904	1	0	0	0	0	0	0	0
ENSG00000256906	0	0	0	2	0	0	0	0
ENSG00000256913	2	3	6	3	2	1	8	4
ENSG00000256923	0	0	0	0	0	0	0	0
ENSG00000256927	0	0	1	0	0	0	0	0
ENSG00000256937	1	0	0	0	0	1	0	0
ENSG00000256948	10	5	6	0	0	30	3	4
ENSG00000256950	2	0	1	0	1	1	0	1
ENSG00000256953	0	0	0	0	0	0	0	0
ENSG00000256955	0	0	1	0	0	0	0	0
ENSG00000256967	13	3	17	7	10	4	8	6
ENSG00000256969	0	0	0	0	0	0	0	0
ENSG00000256973	6	8	5	0	6	7	8	4
ENSG00000256975	0	0	0	1	1	0	0	0
ENSG00000256981	4	2	3	0	1	3	3	0
ENSG00000256984	7	14	15	0	1	1	1	3
ENSG00000256988	0	0	0	0	0	0	0	0
ENSG00000256995	1	0	2	0	0	0	0	0
ENSG00000257000	0	2	3	0	2	0	0	0
ENSG00000257016	0	0	0	1	0	0	0	0
ENSG00000257022	0	0	0	0	0	0	0	0
ENSG00000257023	1	0	0	0	0	0	0	1
ENSG00000257027	81	48	64	29	92	59	123	57
ENSG00000257035	0	0	0	0	0	0	0	0
ENSG00000257037	0	1	0	0	0	1	0	0
ENSG00000257042	1	0	0	1	0	2	1	0
ENSG00000257048	0	0	0	0	0	0	0	2
ENSG00000257061	0	0	35	0	1	0	0	0
ENSG00000257083	0	0	0	0	0	0	0	0
ENSG00000257084	104	91	59	28	27	18	33	73
ENSG00000257094	0	1	1	0	0	0	1	0
ENSG00000257097	0	0	0	0	0	0	0	0
ENSG00000257114	0	1	1	3	0	1	1	0
ENSG00000257121	0	0	0	0	0	0	0	0
ENSG00000257127	1	1	7	0	0	0	0	0
ENSG00000257137	0	0	0	0	0	0	2	0
ENSG00000257139	0	0	0	0	0	0	0	0
ENSG00000257141	1	0	0	0	0	1	0	0
ENSG00000257150	0	1	0	0	0	0	0	0
ENSG00000257156	0	0	0	0	0	0	0	0
ENSG00000257159	0	3	0	0	1	0	3	1
ENSG00000257164	0	0	0	0	0	0	0	0
ENSG00000257167	118	61	62	17	43	25	149	87
ENSG00000257169	0	0	0	0	0	1	1	0
ENSG00000257176	16	9	29	15	17	6	11	35
ENSG00000257181	11	1	8	0	6	40	7	9
ENSG00000257191	0	1	0	0	0	0	0	0
ENSG00000257193	0	0	0	0	0	0	0	0
ENSG00000257194	5	1	1	0	1	0	0	0
ENSG00000257195	0	0	0	0	0	0	1	0
ENSG00000257199	1	0	0	0	0	0	2	1
ENSG00000257202	1	0	1	0	0	0	0	1
ENSG00000257210	0	1	0	0	0	0	0	0
ENSG00000257218	204	209	210	205	291	190	635	382
ENSG00000257219	5	1	1	1	24	2	5	2
ENSG00000257220	0	0	0	0	0	0	0	0
ENSG00000257221	6	1	11	0	2	1	1	0
ENSG00000257222	0	0	0	0	0	0	0	1
ENSG00000257225	7	3	2	5	1	1	1	2
ENSG00000257228	0	0	0	0	0	1	1	0
ENSG00000257231	0	0	1	0	0	0	0	0
ENSG00000257239	0	0	0	0	0	0	0	0
ENSG00000257242	14	9	25	1	9	11	6	6
ENSG00000257243	4	7	2	1	3	4	3	1
ENSG00000257246	13	10	8	1	3	4	8	4
ENSG00000257252	3	2	1	2	1	0	2	7
ENSG00000257253	0	0	0	0	0	0	0	0
ENSG00000257258	0	5	0	0	0	1	1	0
ENSG00000257259	0	0	0	0	1	1	0	0
ENSG00000257261	9	4	3	8	13	9	9	41
ENSG00000257262	0	1	0	0	0	0	0	0
ENSG00000257279	2	0	2	3	0	0	1	0
ENSG00000257281	1	0	0	0	0	1	0	0
ENSG00000257283	0	0	0	0	0	0	0	0
ENSG00000257286	1	0	1	1	3	1	1	2
ENSG00000257288	0	0	0	0	0	0	0	0
ENSG00000257294	0	0	0	0	0	0	0	1
ENSG00000257296	0	0	0	0	0	0	0	0
ENSG00000257298	7	9	10	3	10	9	7	6
ENSG00000257302	0	0	0	0	0	0	0	1
ENSG00000257303	5	6	2	10	4	9	33	12
ENSG00000257316	0	0	0	0	0	0	0	0
ENSG00000257319	0	0	0	0	0	0	0	0
ENSG00000257322	0	0	0	0	5	1	0	3
ENSG00000257327	0	3	0	0	0	0	1	2
ENSG00000257331	0	1	0	0	0	0	0	0
ENSG00000257336	3	0	2	0	0	8	0	0
ENSG00000257337	87	86	87	268	442	90	613	323
ENSG00000257342	11	10	8	5	14	10	18	42
ENSG00000257345	0	0	0	0	3	0	0	1
ENSG00000257346	0	0	0	1	0	0	0	0
ENSG00000257354	3	6	7	1	14	4	4	2
ENSG00000257359	1	1	1	2	2	2	2	3
ENSG00000257368	1	0	0	0	0	1	0	1
ENSG00000257373	1	0	0	0	0	2	1	0
ENSG00000257376	0	0	0	0	0	0	0	0
ENSG00000257378	0	0	0	0	0	0	0	0
ENSG00000257384	0	0	0	0	0	0	0	0
ENSG00000257386	2	1	2	2	2	2	3	6
ENSG00000257390	4	5	5	4	4	8	3	10
ENSG00000257398	0	0	0	0	0	3	0	0
ENSG00000257400	0	0	0	0	1	0	0	0
ENSG00000257405	0	0	0	0	0	0	0	0
ENSG00000257407	0	0	0	0	0	0	0	0
ENSG00000257410	0	0	1	0	0	0	0	0
ENSG00000257415	0	0	0	0	0	0	0	0
ENSG00000257431	7	1	1	0	1	0	3	1
ENSG00000257433	6	14	22	10	10	6	12	10
ENSG00000257434	0	0	0	2	0	1	13	7
ENSG00000257438	0	0	0	0	0	0	0	0
ENSG00000257443	1	0	0	0	0	0	0	0
ENSG00000257449	0	0	0	0	0	0	1	0
ENSG00000257452	0	3	1	0	2	1	3	1
ENSG00000257453	6	3	11	1	7	3	3	17
ENSG00000257467	0	0	0	0	0	0	0	0
ENSG00000257470	0	0	0	0	0	0	0	0
ENSG00000257474	0	0	0	0	0	0	0	3
ENSG00000257475	3	3	3	1	5	0	2	0
ENSG00000257477	0	0	0	0	0	0	0	0
ENSG00000257488	0	0	0	0	1	1	1	2
ENSG00000257489	11	16	13	7	25	4	13	8
ENSG00000257494	0	0	0	0	0	0	0	0
ENSG00000257495	0	0	0	0	0	0	0	0
ENSG00000257496	0	0	1	0	0	1	0	0
ENSG00000257497	6	6	4	3	2	5	2	10
ENSG00000257499	9	7	16	1	6	7	14	2
ENSG00000257500	1	0	0	0	0	0	0	0
ENSG00000257501	0	0	0	0	0	1	0	0
ENSG00000257507	0	1	0	1	0	0	0	1
